event_key,country_code,yr,event_name,event_type,countries_affected,num_of_deaths,num_of_injuries,costs,foreign_aid,start_date,end_date
64,SYR,2011,Syrian Civil War,Civil War,{'Syria'},350000,,443000000000,,2011-03-15,2020-12-31
65,SYR,2015,Russia joins Syrian Civil War,Civil War,{'Syria'},20697,,,,2015-09-30,2015-09-30
66,SYR,2012,Fighting spreads to Aleppo,Civil War,{'Syria'},,,,,2012-07-12,2020-12-31
67,SYR,2011,Demonstrations/protests in Daraa,Civil War,{'Syria'},25,177,,,2011-03-15,2011-05-05
68,SYR,2013,Ghouta Attack,Civil War,{'Syria'},1400,,,,2013-08-23,2013-08-23
69,SYR,2014,USA and allies launch airstrike against Islamic State militants,Civil War,"{'Syria', 'Iraq'}",12865,,,,2014-09-23,2020-12-31
70,SYR,2018,Israeli launches airstrikes,Civil War,{'Syria'},500,,,,2011-04-01,2020-12-31
71,USA,2005,Hurricane Rita,Hurricane,"{'Bahamas', 'Cuba', 'United States', 'Haiti', 'Dominican Republic', 'Turks and Caicos Islands'}",120,,10000000000,10000000,2005-09-18,2005-09-26
72,USA,2005,Hurricane Katrina,Hurricane,"{'Bahamas', 'Cuba', 'United States', 'Canada'}",1836,,125000000000,854000000,2005-08-23,2005-08-31
73,USA,2012,Hurricane Sandy,Hurricane,"{'Bahamas', 'Bermuda', 'Haiti', 'United States', 'Canada'}",233,,68700000000,7000000,2012-10-22,2012-11-02
74,USA,2011,Hurricane Irene,Hurricane,"{'Haiti', 'Dominican Republic', 'Turks and Caicos', 'Bahamas', 'United States', 'Canada'}",58,,14200000000,,2011-08-21,2011-08-30
75,USA,2019,Hurricane Dorian,Hurricane,"{'Bahamas', 'United States', 'Canada'}",84,,5100000000,7900000,2019-08-24,2019-09-07
76,USA,2011,2011 Super Outbreak Tornadoes,Tornadoes,{'United States'},324,3100,10200000000,,2011-04-25,2011-04-28
77,USA,2017,2017 California Wildfires,Wildfires,{'United States'},47,211,18000000000,,2017-04-20,2017-12-16
78,USA,2008,2008 Super Tuesday Tornado Outbreak,Tornadoes,{'United States'},57,425,1200000000,,2008-02-05,2008-02-06
79,USA,2020,Hurricane Sally,Hurricane,"{'Bahamas', 'Cuba', 'United States'}",9,,7300000000,,2020-09-11,2020-09-18
80,USA,2020,Hurricane Eta,Hurricane,"{'Jamaica', 'Central America', 'Cuba', 'Bahamas', 'United States'}",175,,8300000000,22000000,2020-10-31,2020-11-13
81,YEM,2011,Yemeni Revolution,Revolution,{'Yemen'},2000,22000,,,2011-01-27,2012-02-27
82,YEM,2014,Yemen Coup D'Etat by Houthis,Coup,{'Yemen'},600,200,,,2014-09-21,2015-02-06
83,YEM,2014,Yemen Civil War,Civil War,{'Yemen'},377000,49960,,,2014-09-16,2020-12-31
84,YEM,2016,Yemen Famine,Famine,{'Yemen'},131000,,,20858700000,2016-01-01,2020-12-31
85,YEM,2020,Yemen Flooding,Flooding,{'Yemen'},16,,,,2020-03-01,2020-07-28
86,YEM,2016,Yemen Cholera Outbreak,Virus,{'Yemen'},3981,1700000,,,2016-10-01,2020-12-31
87,YEM,2009,Swine Flu,Virus,{'Worldwide'},28,2070,,,2009-01-01,2010-08-10
88,YEM,2005,Yemeni Uprising,Protest,{'Yemen'},36,,,,2005-07-19,2005-07-19
89,YEM,2015,Cyclone Chapala,Hurricane,"{'Oman', 'Somalia', 'Yemen'}",8,265,100000000,,2015-10-28,2015-11-04
90,YEM,2015,Cyclone Megh,Hurricane,"{'Oman', 'Somalia', 'Yemen'}",18,60,,,2015-11-05,2015-11-10
